Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  141    0 0xffffff7f82a95000 0x5000     0x5000     com.apple.driver.AudioAUUC (1.70) 71FC1A81-3747-3E5A-857E-8C657B2D2BD9 <103 87 12 11 7 5 4 3 1>
  142    0 0xffffff7f82b29000 0x5000     0x5000     com.apple.driver.AppleUpstreamUserClient (3.6.5) BA12F5B7-39D0-366F-B8EC-4BCAAFD285AA <87 12 11 7 5 4 3 1>
  143    1 0xffffff7f81b64000 0x7000     0x7000     com.apple.driver.X86PlatformShim (1.0.0) 49CD0B57-6BCB-3B45-9E76-18C7F87F78F2 <138 129 13 7 4 3>
  144    0 0xffffff7f835eb000 0x19000    0x19000    com.apple.driver.AGPM (110.23.33) EE1A4E2D-423D-36AB-9B3F-6B1C8D9532F8 <129 110 90 87 12 6 5 4 3>
  145    0 0xffffff7f82d8c000 0x4000     0x4000     com.apple.driver.ApplePlatformEnabler (2.7.0d0) F39E7EE5-9C96-325F-BAF7-E28E86070422 <7 5 4 3>
  147    1 0xffffff7f8146d000 0x5b000    0x5b000    com.apple.filesystems.ntfs (3.13) 99A7334B-4404-3F00-89B2-8D79C0976D27 <7 6 5 4 1>
  148    1 0xffffff7f82a85000 0x5000     0x5000     com.apple.kext.triggers (1.0) 00226670-5F9E-31BC-B59C-A0B2FE6D7797 <7 6 5 4 3 1>
  149    0 0xffffff7f82a8a000 0x9000     0x9000     com.apple.filesystems.autofs (3.0) 1F7A2090-68A9-3215-8E5B-2F73A2279027 <148 7 6 5 4 3 2 1>
  151    2 0xffffff7f81dda000 0xb000     0xb000     com.apple.iokit.IOBluetoothHostControllerTransport (6.0.5f3) 8D1EB8C6-FAD6-3769-ABC3-1118781C8B44 <122 30 12 11 7 6 5 4 3 1>
  152    1 0xffffff7f81def000 0x20000    0x20000    com.apple.iokit.IOBluetoothHostControllerUSBTransport (6.0.5f3) 4612810D-FAD1-3432-83A6-93169C5382F6 <151 122 30 12 11 7 6 5 4 3 1>
  153    0 0xffffff7f81e0f000 0xc000     0xc000     com.apple.iokit.BroadcomBluetoothHostControllerUSBTransport (6.0.5f3) 25E2FF7A-6942-3E80-B4E7-19ACF8B72FED <152 151 122 30 12 11 7 6 5 4 3>
  158    0 0xffffff7f814cc000 0xf000     0xf000     com.apple.filesystems.msdosfs (1.10) 8FE45584-8696-3CB8-BF53-6A105E3256D7 <7 5 4 1>
